νέομαι	to go	24	0.47	1	0.26	0	0.94
κῆρ	the heart	24	0.47	1	0.26	0	0.94
ἴσος	equal to	24	0.47	0	0	1	0.23
ἐνθάδε	here	24	0.47	1	0.26	2	0.47
φιλέω	to love	24	0.47	2	0.53	7	1.66
βροτός	a mortal man	24	0.47	1	0.26	4	0.94
ὀπίσω	backwards	24	0.47	3	0.79	1	0.23
τέκνον	a child	24	0.47	5	1.32	0	0.23
βία	bodily strength	24	0.47	1	0.26	0	0.23
δέω	to bind	24	0.47	0	0	3	0.71
ὑπέρ	over	24	0.47	3	0.79	1	0.23
ὕπνος	sleep	24	0.47	0	0	1	0.23
γλαφυρός	hollow	24	0.47	0	0	1	0.23
μίγνυμι	NoDef	24	0.47	3	0.79	2	0.47
ταχύς	quick	24	0.47	2	0.53	2	0.47
πεδίον	a plain	24	0.47	6	1.59	1	0.23
ὅθι	where	24	0.47	1	0.26	2	0.47
Τυδείδης	NoDef	24	0.47	1	0.26	0	0.47
οἴκαδε	to one's home	23	0.45	0	0	3	0.71
φρονέω	to think	23	0.45	2	0.53	0	0.71
μεγάθυμος	high-minded	23	0.45	1	0.26	1	0.23
χαίρω	to rejoice	23	0.45	1	0.26	7	1.66
ξίφος	a sword	23	0.45	0	0	3	0.71
ἵζω	to make to sit	23	0.45	1	0.26	2	0.47
μιμνήσκω	to remind	23	0.45	2	0.53	3	0.71
ὄις	NoDef	23	0.45	2	0.53	0	0.71
χολόω	to make angry	22	0.43	1	0.26	3	0.71
λίσσομαι	to beg	22	0.43	1	0.26	3	0.71
μάλιστα	most	22	0.43	4	1.06	1	0.23
δέχομαι	to take	22	0.43	2	0.53	1	0.23
ἱστός	mast	22	0.43	2	0.53	1	0.23
ἀνάσσω	to be lord	22	0.43	2	0.53	0	0.23
οὖν	so	22	0.43	0	0	3	0.71
ἀγείρω	to bring together	22	0.43	0	0	5	1.18
ἀπόλλυμι	to destroy	22	0.43	2	0.53	2	0.47
ῥέζω	to do	22	0.43	0	0	1	0.23
ὁδός	a way	22	0.43	3	0.79	3	0.71
πρόσθεν	before	22	0.43	2	0.53	1	0.23
μοῖρα	a part	22	0.43	1	0.26	5	1.18
πειράω	to attempt	22	0.43	1	0.26	10	2.37
Κρονίων	son of Cronus	22	0.43	1	0.26	1	0.23
πόσις	a husband	22	0.43	2	0.53	4	0.94
μέλλω	to think of doing	22	0.43	3	0.79	1	0.23
μέμαα	to wish eagerly	22	0.43	1	0.26	0	0.23
ἡμέτερος	our	21	0.41	3	0.79	3	0.71
ἄψ	backwards	21	0.41	2	0.53	2	0.47
πως	somehow	21	0.41	0	0	1	0.23
